Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"China, P.R.: Hong Kong",-0.028,0.028,0.293,0.94,0.964,0.298,0.854,0.961,0.99,0.701,0.733,0.897,1.008,0.415,0.91,0.367,0.333,0.53,0.763,0.703,1.175,0.77,1.338,1.183,1.776,1.882,2.017,1.432
"China, P.R.: Macao",-0.028,0.028,0.293,0.94,0.964,0.298,0.854,0.961,0.99,0.701,0.733,0.897,1.008,0.415,0.91,0.367,0.333,0.53,0.763,0.703,1.175,0.77,1.338,1.183,1.776,1.882,2.017,1.432
"China, P.R.: Mainland",0.577,0.21,0.733,1.264,1.231,0.572,1.038,1.131,0.822,1.112,1.048,1.232,1.538,1.09,1.336,0.968,0.792,0.626,1.073,1.062,1.297,1.319,1.573,1.361,1.422,1.62,1.701,1.906
Colombia,0.517,0.143,0.504,0.901,-0.01,-0.009,0.438,0.675,0.693,0.585,0.681,0.531,0.641,0.385,0.856,1.037,0.467,0.668,0.834,0.854,1.249,1.08,0.82,1.137,1.397,1.583,1.073,0.874
"Comoros, Union of the",0.475,0.013,0.315,0.807,0.235,0.01,0.159,0.613,0.291,0.213,0.309,0.115,0.448,0.28,0.639,0.88,0.516,0.479,0.415,0.509,0.725,0.7,0.95,0.705,1.296,1.03,0.65,0.521
"Congo, Dem. Rep. of the",0.387,-0.077,0.627,0.937,0.455,0.537,0.393,0.872,0.961,0.913,1.014,0.844,0.768,0.664,0.928,1.347,0.844,0.523,1.003,0.976,1.053,1.546,1.32,1.45,1.483,1.692,1.658,1.48
"Congo, Rep. of",0.426,-0.058,0.4826,1.055,0.61,0.404,0.356,0.752,0.852,0.891,0.912,0.808,0.831,0.74,0.819,1.255,0.651,0.667,0.811,0.744,1.075,1.479,1.159,1.245,1.411,1.5,1.355,1.245
Cook Islands,0.455,0.247,-0.108,-0.258,0.625,0.303,0.402,0.292,0.262,0.257,0.115,0.314,0.344,0.208,0.077,0.604,0.548,0.258,0.455,0.158,-0.43,0.31,0.675,0.238,0.22,0.274,0.568,0.479
Costa Rica,0.633,-0.021,0.862,1.139,-0.174,-0.017,0.608,0.894,0.864,0.796,0.584,0.775,0.75,0.349,1.052,0.989,0.564,0.7404000000000002,0.8343999999999999,0.9128000000000001,1.2296,1.3139999999999998,0.9836,1.0042,1.2630000000000001,1.5754000000000001,1.1234,0.8116
"Croatia, Rep. of",0.407,-0.055,0.285,1.127,0.676,1.601,1.57,1.233,1.244,0.633,0.253,0.68,1.938,1.416,1.454,0.821,1.22,1.809,1.232,2.004,1.895,1.807,1.523,2.282,2.082,1.989,1.582,2.209
